occ_title,tot_emp,emp_prse,h_mean,a_mean,mean_prse
"Substitute Teachers, Short-Term",587120,1.5,15.61,32460,1.1
"Tutors and Teachers and Instructors, All Other",320250,1.7,*,48700,1.3
"Librarians, Curators, and Archivists",257060,1.5,25.16,52330,0.4
"Archivists, Curators, and Museum Technicians",32640,2.4,26.11,54320,0.9
Archivists,6560,6.2,27.65,57500,1.3
Curators,12890,2.9,28.43,59130,0.9
Museum Technicians and Conservators,13190,3.3,23.09,48030,1.4
Librarians and Media Collections Specialists,135690,1.3,29.77,61920,0.5
Librarians and Media Collections Specialists,135690,1.3,29.77,61920,0.5
Library Technicians,88720,2.3,17.76,36950,0.7
Library Technicians,88720,2.3,17.76,36950,0.7
Other Educational Instruction and Library Occupations,1798860,0.5,*,35330,0.5
Farm and Home Management Educators,8720,4.8,25.34,52720,1.3
Farm and Home Management Educators,8720,4.8,25.34,52720,1.3
Instructional Coordinators,176690,1.6,33.26,69180,0.6
Instructional Coordinators,176690,1.6,33.26,69180,0.6
Teaching Assistants,1484410,0.6,*,30280,0.7
"Teaching Assistants, Postsecondary",137500,2.8,*,36460,1.9
"Teaching Assistants, Except Postsecondary",1346910,0.6,*,29640,0.6
Miscellaneous Educational Instruction and Library Workers,129040,1.8,22.1,45970,1.7
"Educational Instruction and Library Workers, All Other",129040,1.8,22.1,45970,1.7
"Arts, Design, Entertainment, Sports, and Media Occupations",2017810,0.7,29.79,61960,0.7
Art and Design Workers,633420,0.9,27.54,57290,0.6
Artists and Related Workers,96760,2.2,43.01,89470,1.2
Art Directors,42890,2.1,52.69,109600,1.3
Craft Artists,4640,8.5,18.63,38740,2.2
"Fine Artists, Including Painters, Sculptors, and Illustrators",12350,7.1,30.3,63030,5.5
Special Effects Artists and Animators,29340,4.2,40.76,84780,2.1
"Artists and Related Workers, All Other",7550,7.6,32.57,67750,4.0
Designers,536660,0.9,24.75,51490,0.6
Commercial and Industrial Designers,32770,2.9,35.49,73820,1.0
Fashion Designers,22030,4.2,41.4,86110,2.5
Floral Designers,41770,2.4,14.31,29760,0.8
Graphic Designers,215930,0.9,27.17,56510,0.5
Interior Designers,60650,2.9,29.32,60990,1.1
Merchandise Displayers and Window Trimmers,140850,2.6,15.84,32940,0.7
Set and Exhibit Designers,12040,6.3,30.04,62480,2.4
